method,seed,eval_index,generation,fitness,best_so_far,n_nodes
random_search,6,179,3,22.134698994937583,17.3295630140987,21
random_search,6,180,3,20.560107523773826,17.3295630140987,21
random_search,6,181,3,22.337211521390785,17.3295630140987,21
random_search,6,182,3,21.18208554864871,17.3295630140987,21
random_search,6,183,3,20.435415650406263,17.3295630140987,21
random_search,6,184,3,19.14355957741627,17.3295630140987,21
random_search,6,185,3,20.491153452528778,17.3295630140987,21
random_search,6,186,3,21.13907194296653,17.3295630140987,21
random_search,6,187,3,19.88806130178211,17.3295630140987,21
random_search,6,188,3,20.515167380558044,17.3295630140987,21
random_search,6,189,3,20.63907194296653,17.3295630140987,21
random_search,6,190,3,21.380697580112788,17.3295630140987,21
random_search,6,191,3,20.63901391331568,17.3295630140987,21
random_search,6,192,3,20.73861278752583,17.3295630140987,21
random_search,6,193,3,20.792848008753786,17.3295630140987,21
random_search,6,194,3,21.243024810940586,17.3295630140987,21
random_search,6,195,3,20.609975124224178,17.3295630140987,21
random_search,6,196,3,19.672004514666934,17.3295630140987,21
random_search,6,197,3,19.07156333832011,17.3295630140987,21
random_search,6,198,3,20.866431913239847,17.3295630140987,21
random_search,6,199,3,19.669693845669904,17.3295630140987,21
random_search,6,200,4,21.764132562731405,17.3295630140987,21
random_search,6,201,4,20.785229954635273,17.3295630140987,21
random_search,6,202,4,20.683281572999746,17.3295630140987,21
random_search,6,203,4,20.295829710142186,17.3295630140987,21
random_search,6,204,4,19.80787840283389,17.3295630140987,21
random_search,6,205,4,18.76023252670426,17.3295630140987,21
random_search,6,206,4,20.533907960581374,17.3295630140987,21
random_search,6,207,4,19.95472369909914,17.3295630140987,21
random_search,6,208,4,19.239607805437114,17.3295630140987,21
random_search,6,209,4,19.588409872672514,17.3295630140987,21
random_search,6,210,4,21.134698994937583,17.3295630140987,21
random_search,6,211,4,20.983266665599963,17.3295630140987,21
random_search,6,212,4,21.25941170815567,17.3295630140987,21
random_search,6,213,4,20.43469899493758,17.3295630140987,21
random_search,6,214,4,21.554065922853802,17.3295630140987,21
random_search,6,215,4,20.18679622641132,17.3295630140987,21
random_search,6,216,4,21.582207001484488,17.3295630140987,21
random_search,6,217,4,19.54880884817015,17.3295630140987,21
random_search,6,218,4,21.78790581563873,17.3295630140987,21
random_search,6,219,4,20.453720459187966,17.3295630140987,21
random_search,6,220,4,19.935415650406263,17.3295630140987,21
